ID,host,created_at,lifecycle_stage,cluster
40e255eb-46dc-4a3e-bad9-e69686ef6b84,adrien-test-staging.stg.citizenlab.co,2023-11-17 10:45:09 UTC,active,STG
85463d30-7b68-4bc4-81d3-5a6d09ec2a41,adrien-moderator-confirmation-test-4.stg.citizenlab.co.stg.citizenlab.co,2023-11-15 12:42:28 UTC,active,STG
1d9cb376-1f97-41d9-ae23-e973e5d83bd5,uxtest1.stg.citizenlab.co,2017-12-28 12:47:59 UTC,demo,STG
e57e822f-64e4-462d-a982-59188ec2a9b9,solution-engineer.stg.citizenlab.co,2020-12-10 09:23:52 UTC,demo,STG
8eed625a-c889-4aca-92a0-51a6b35c360e,gent-verification.stg.citizenlab.co,2021-08-19 19:53:43 UTC,not_applicable,STG
a6e19607-e520-4469-821a-fc1ee61f5590,recruitment.stg.citizenlab.co,2021-04-17 14:04:34 UTC,demo,STG
770438a8-3a9f-445c-af7d-f527a8c6c025,pentest1.stg.citizenlab.co,2020-09-18 14:57:32 UTC,demo,STG
e1692d44-c07e-487e-92fe-8f017cdc225c,injuv.stg.citizenlab.co,2021-06-06 12:24:57 UTC,demo,STG
0121e4f5-ae75-4c66-9df1-2dba87f4b1a7,a11y-pages.stg.citizenlab.co,2020-02-16 11:10:24 UTC,demo,STG
fa118692-9094-48a1-8aca-b5cc6d518e15,chile-cow.stg.citizenlab.co,2020-01-24 16:16:43 UTC,demo,STG
8c65e8a4-03a4-45fc-84af-5bbe6ff485d8,oostende.stg.citizenlab.co,2020-12-10 21:39:09 UTC,demo,STG
0d7ab1b0-82e5-424c-a44a-a71db604954e,de-template.stg.citizenlab.co,2018-08-10 13:30:04 UTC,demo,STG
4d8431b6-3c7b-47c7-889d-b01169e3f059,utrecht-demo.stg.citizenlab.co,2019-09-14 10:30:46 UTC,demo,STG
adbc9b5d-d37b-44c7-bb47-62c912d39d5a,e2e.stg.citizenlab.co,2022-01-17 16:54:36 UTC,not_applicable,STG
0423343b-6fb6-435f-a45d-ab2cdcd427c7,vub.stg.citizenlab.co,2019-01-14 14:25:14 UTC,demo,STG
18eb0f28-835e-442e-9fa3-e04a2f515b97,a11y.stg.citizenlab.co,2020-02-27 13:16:09 UTC,demo,STG
