ID,Host,Lifecycle Stage,Created At,Response
9c2c6062-c4a8-4a54-97e1-4ce8dc6de8ca,participer.cmm.qc.ca,active,2022-04-06T09:42:31.278535,9c2c6062-c4a8-4a54-97e1-4ce8dc6de8ca,1. app_configuration success
a9b75aab-fbe0-4606-9a45-a20580c0aaf3,bowenisland.citizenlab.co,active,2019-11-05T19:43:36.163208,a9b75aab-fbe0-4606-9a45-a20580c0aaf3,1. app_configuration success
c82031fb-d375-4f8a-b04e-a211375ff43a,participation.concordia.ca,active,2021-01-28T15:37:07.039418,c82031fb-d375-4f8a-b04e-a211375ff43a,1. app_configuration success
a5fb75cf-f055-4411-959c-8a39138f66f7,cat.citizenlab.co,churned,2022-02-07T13:26:20.479927,a5fb75cf-f055-4411-959c-8a39138f66f7,1. app_configuration success
0a1d83d4-01b0-46d7-95be-c657ca6e3534,albertaparty.citizenlab.co,active,2022-03-29T22:47:35.009104,0a1d83d4-01b0-46d7-95be-c657ca6e3534,1. app_configuration success
c44f7c38-7029-4078-b6e6-ad87818283cb,participaconenergia.minenergia.cl,active,2021-10-28T16:29:24.401856,c44f7c38-7029-4078-b6e6-ad87818283cb,SocketError: Failed to open TCP connection to participaconenergia.minenergia.cl:443 (getaddrinfo: nodename nor servname provided, or not known)
9d4d68d4-3bc0-4011-a7fb-8321ad0acf30,sanisidroparticipa.citizenlab.co,churned,2020-11-30T17:07:51.357446,9d4d68d4-3bc0-4011-a7fb-8321ad0acf30,SocketError: Failed to open TCP connection to sanisidroparticipa.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
e6eb0be9-b6e7-4caf-908b-2c162969c725,participa.muniarica.cl,active,2022-12-07T01:18:38.988849,e6eb0be9-b6e7-4caf-908b-2c162969c725,SocketError: Failed to open TCP connection to participa.muniarica.cl:443 (getaddrinfo: nodename nor servname provided, or not known)
8a0a62cb-e9d9-4a9a-89d6-e83236e10c85,vitacuraparticipa.citizenlab.co,churned,2022-09-27T08:45:12.91159,8a0a62cb-e9d9-4a9a-89d6-e83236e10c85,SocketError: Failed to open TCP connection to vitacuraparticipa.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
04db8880-25ee-4f9c-8511-171ba265432a,antucoyaparticipa.cl,active,2021-02-08T23:19:58.284055,04db8880-25ee-4f9c-8511-171ba265432a,SocketError: Failed to open TCP connection to antucoyaparticipa.cl:443 (getaddrinfo: nodename nor servname provided, or not known)
eb770247-1bd1-4952-a101-cbcdbc5a5a46,participa.mpudahuel.cl,churned,2022-06-28T14:33:32.370954,eb770247-1bd1-4952-a101-cbcdbc5a5a46,SocketError: Failed to open TCP connection to participa.mpudahuel.cl:443 (getaddrinfo: nodename nor servname provided, or not known)
5709cc84-3eda-4015-8715-f38b032f4af9,dialogoreformas3.citizenlab.co,active,2022-01-19T12:10:41.002262,5709cc84-3eda-4015-8715-f38b032f4af9,SocketError: Failed to open TCP connection to dialogoreformas3.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
1ce3a612-c754-4869-abcb-772ebb65e14a,redmercosurfromargentina.citizenlab.co,churned,2022-04-28T13:59:07.517239,1ce3a612-c754-4869-abcb-772ebb65e14a,SocketError: Failed to open TCP connection to redmercosurfromargentina.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
7383448d-a601-4a6e-9e4e-b9d1dcd92b50,participacion.digital.gob.cl,active,2022-08-29T13:38:25.111563,7383448d-a601-4a6e-9e4e-b9d1dcd92b50,SocketError: Failed to open TCP connection to participacion.digital.gob.cl:443 (getaddrinfo: nodename nor servname provided, or not known)
10f724d7-e584-4268-8d01-bd03101f52c8,jaiba.citizenlab.co,active,2021-09-24T10:41:32.358935,10f724d7-e584-4268-8d01-bd03101f52c8,SocketError: Failed to open TCP connection to jaiba.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
437876ed-e61d-49bb-a60f-d1cf129476b8,demolaserena.citizenlab.co,demo,2023-02-15T11:42:25.605934,437876ed-e61d-49bb-a60f-d1cf129476b8,SocketError: Failed to open TCP connection to demolaserena.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
4fb3f5aa-33a7-41f7-8651-ff4d8c5559f8,saneamentodebasenatural.citizenlab.co,churned,2022-03-28T20:00:31.110421,4fb3f5aa-33a7-41f7-8651-ff4d8c5559f8,SocketError: Failed to open TCP connection to saneamentodebasenatural.citizenlab.co:443 (getaddrinfo: nodename nor servname provided, or not known)
8f63fb7c-086c-4d98-8fd8-5e4136243abe,participa.lareina.cl,active,2023-01-09T11:24:30.594661,8f63fb7c-086c-4d98-8fd8-5e4136243abe,SocketError: Failed to open TCP connection to participa.lareina.cl:443 (getaddrinfo: nodename nor servname provided, or not known)
24c5cb00-390f-4679-aa79-b12b8cc79998,centinelaparticipa.cl,active,2020-10-07T15:49:39.448588,24c5cb00-390f-4679-aa79-b12b8cc79998,SocketError: Failed to open TCP connection to centinelaparticipa.cl:443 (getaddrinfo: nodename nor servname provided, or not known)
7cd81321-fb2e-44aa-b611-1369c0281357,participa.santiago2050.cl,active,2022-07-04T17:07:48.478774,7cd81321-fb2e-44aa-b611-1369c0281357,SocketError: Failed to open TCP connection to participa.santiago2050.cl:443 (getaddrinfo: nodename nor servname provided, or not known)
